trilead-api                        Trilead API Plugin                                               1.0.5
cloudbees-folder                   Folders Plugin                                                   6.10.1
jdk-tool                           Oracle Java SE Development Kit Installer Plugin                  1.4
script-security                    Script Security Plugin                                           1.68
command-launcher                   Command Agent Launcher Plugin                                    1.4
structs                            Structs Plugin                                                   1.20
workflow-step-api                  Pipeline: Step API                                               2.21
token-macro                        Token Macro Plugin                                               2.10
bouncycastle-api                   bouncycastle API Plugin                                          2.17
build-timeout                      Build Timeout                                                    1.19
credentials                        Credentials Plugin                                               2.3.0
plain-credentials                  Plain Credentials Plugin                                         1.5
ssh-credentials                    SSH Credentials Plugin                                           1.18
credentials-binding                Credentials Binding Plugin                                       1.20
scm-api                            SCM API Plugin                                                   2.6.3
workflow-api                       Pipeline: API                                                    2.38
timestamper                        Timestamper                                                      1.10
workflow-support                   Pipeline: Supporting APIs                                        3.3
durable-task                       Durable Task Plugin                                              1.33
workflow-durable-task-step         Pipeline: Nodes and Processes                                    2.35
junit                              JUnit Plugin                                                     1.28
matrix-project                     Matrix Project Plugin                                            1.14
resource-disposer                  Resource Disposer Plugin                                         0.14
ws-cleanup                         Workspace Cleanup Plugin                                         0.38
ant                                Ant Plugin                                                       1.10
ace-editor                         JavaScript GUI Lib: ACE Editor bundle plugin                     1.1
jquery-detached                    JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin 1.2.1
workflow-scm-step                  Pipeline: SCM Step                                               2.9
workflow-cps                       Pipeline: Groovy                                                 2.78
workflow-job                       Pipeline: Job                                                    2.36
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin                      4.5.10-2.0
display-url-api                    Display URL API                                                  2.3.2
mailer                             Mailer Plugin                                                    1.29
workflow-basic-steps               Pipeline: Basic Steps                                            2.18
gradle                             Gradle Plugin                                                    1.35
pipeline-milestone-step            Pipeline: Milestone Step                                         1.3.1
jackson2-api                       Jackson 2 API Plugin                                             2.10.1
pipeline-input-step                Pipeline: Input Step                                             2.11
pipeline-stage-step                Pipeline: Stage Step                                             2.3
pipeline-graph-analysis            Pipeline Graph Analysis Plugin                                   1.10
pipeline-rest-api                  Pipeline: REST API Plugin                                        2.12
handlebars                         JavaScript GUI Lib: Handlebars bundle plugin                     1.1.1
momentjs                           JavaScript GUI Lib: Moment.js bundle plugin                      1.1.1
pipeline-stage-view                Pipeline: Stage View Plugin                                      2.12
pipeline-build-step                Pipeline: Build Step                                             2.10
pipeline-model-api                 Pipeline: Model API                                              1.5.0
pipeline-model-extensions          Pipeline: Declarative Extension Points API                       1.5.0
jsch                               JSch dependency plugin                                           0.1.55.1
branch-api                         Branch API Plugin                                                2.5.5
workflow-multibranch               Pipeline: Multibranch                                            2.21
authentication-tokens              Authentication Tokens API Plugin                                 1.3
docker-commons                     Docker Commons Plugin                                            1.15
docker-workflow                    Docker Pipeline                                                  1.21
pipeline-stage-tags-metadata       Pipeline: Stage Tags Metadata                                    1.5.0
pipeline-model-declarative-agent   Pipeline: Declarative Agent API                                  1.1.1
lockable-resources                 Lockable Resources plugin                                        2.7
github-api                         GitHub API Plugin                                                1.95
mapdb-api                          MapDB API Plugin                                                 1.0.9.0
subversion                         Subversion Plug-in                                               2.13.0
ssh-slaves                         SSH Slaves plugin                                                1.31.0
matrix-auth                        Matrix Authorization Strategy Plugin                             2.5
pam-auth                           PAM Authentication plugin                                        1.6
ldap                               LDAP Plugin                                                      1.21
email-ext                          Email Extension Plugin                                           2.68
localization-support               Localization Support Plugin                                      1.1
localization-zh-cn                 Localization: Chinese (Simplified)                               1.0.13
antisamy-markup-formatter          OWASP Markup Formatter Plugin                                    1.6
ssh-agent                          SSH Agent Plugin                                                 1.17
git-client                         Git client plugin                                                3.0.0
git-server                         GIT server Plugin                                                1.9
workflow-cps-global-lib            Pipeline: Shared Groovy Libraries                                2.15
pipeline-model-definition          Pipeline: Declarative                                            1.5.0
workflow-aggregator                Pipeline                                                         2.6
git                                Git plugin                                                       4.0.0
github                             GitHub plugin                                                    1.29.5
github-branch-source               GitHub Branch Source Plugin                                      2.5.8
pipeline-github-lib                Pipeline: GitHub Groovy Libraries                                1.0
