publish-over-ssh                 Publish Over SSH                                                 1.17
ant                              Ant Plugin                                                       1.4
jquery                           jQuery plugin                                                    1.11.2-0
pipeline-build-step              Pipeline: Build Step                                             2.5
parameterized-trigger            Parameterized Trigger plugin                                     2.33
script-security                  Script Security Plugin                                           1.27
workflow-cps-global-lib          Pipeline: Shared Groovy Libraries                                2.7
rebuild                          Rebuilder                                                        1.25
ssh-credentials                  SSH Credentials Plugin                                           1.13
ldap                             LDAP Plugin                                                      1.14
handlebars                       JavaScript GUI Lib: Handlebars bundle plugin                     1.1.1
git-client                       Git client plugin                                                2.4.1
pipeline-stage-tags-metadata     Pipeline: Stage Tags Metadata                                    1.1.2
javadoc                          Javadoc Plugin                                                   1.4
git-server                       GIT server Plugin                                                1.7
matrix-auth                      Matrix Authorization Strategy Plugin                             1.5
authentication-tokens            Authentication Tokens API Plugin                                 1.3
docker-workflow                  Docker Pipeline                                                  1.10
git                              Git plugin                                                       3.2.0
pam-auth                         PAM Authentication plugin                                        1.3
workflow-job                     Pipeline: Job                                                    2.10
pipeline-input-step              Pipeline: Input Step                                             2.5
workflow-api                     Pipeline: API                                                    2.12
gitlab-hook                      Gitlab Hook Plugin                                               1.4.2
credentials-binding              Credentials Binding Plugin                                       1.11
workflow-durable-task-step       Pipeline: Nodes and Processes                                    2.10
flow                             FLOW Plugin                                                      1.3
external-monitor-job             External Monitor Job Type Plugin                                 1.7
subversion                       Subversion Plug-in                                               2.7.2
built-on-column                  built-on-column                                                  1.1
pipeline-model-api               Pipeline: Model API                                              1.1.2
jenkins-multijob-plugin          Multijob plugin                                                  1.24
docker-plugin                    Docker plugin                                                    0.16.2
token-macro                      Token Macro Plugin                                               2.1
bouncycastle-api                 bouncycastle API Plugin                                          2.16.1
workflow-cps                     Pipeline: Groovy                                                 2.29
jquery-detached                  JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin 1.2.1
durable-task                     Durable Task Plugin                                              1.13
pipeline-milestone-step          Pipeline: Milestone Step                                         1.3.1
workflow-support                 Pipeline: Supporting APIs                                        2.14
translation                      Translation Assistance plugin                                    1.15
cloudbees-folder                 Folders Plugin                                                   6.0.3
gitlab-plugin                    GitLab Plugin                                                    1.4.5
pipeline-model-definition        Pipeline: Model Definition                                       1.1.2
scm-api                          SCM API Plugin                                                   2.1.1
workflow-basic-steps             Pipeline: Basic Steps                                            2.4
envinject                        Environment Injector Plugin                                      2.0
mapdb-api                        MapDB API Plugin                                                 1.0.9.0
cvs                              CVS Plug-in                                                      2.13
build-pipeline-plugin            Build Pipeline Plugin                                            1.5.6
display-url-api                  Display URL API                                                  1.1.1
workflow-step-api                Pipeline: Step API                                               2.9
workflow-aggregator              Pipeline                                                         2.5
ansicolor                        AnsiColor                                                        0.5.0
git-tag-message                  Git Tag Message Plugin                                           1.5
plain-credentials                Plain Credentials Plugin                                         1.4
workflow-multibranch             Pipeline: Multibranch                                            2.14
pipeline-stage-step              Pipeline: Stage Step                                             2.2
ruby-runtime                     ruby-runtime                                                     0.12
workflow-scm-step                Pipeline: SCM Step                                               2.4
github-api                       GitHub API Plugin                                                1.85
git-parameter                    Git Parameter Plug-In                                            0.8.0
maven-plugin                     Maven Integration plugin                                         2.15.1
momentjs                         JavaScript GUI Lib: Moment.js bundle plugin                      1.1.1
icon-shim                        Icon Shim Plugin                                                 2.0.3
pipeline-rest-api                Pipeline: REST API Plugin                                        2.6
ssh                              SSH plugin                                                       2.4
pipeline-model-declarative-agent Pipeline: Declarative Agent API                                  1.1.1
antisamy-markup-formatter        OWASP Markup Formatter Plugin                                    1.5
github                           GitHub plugin                                                    1.26.2
branch-api                       Branch API Plugin                                                2.0.8
matrix-project                   Matrix Project Plugin                                            1.9
docker-commons                   Docker Commons Plugin                                            1.6
pipeline-model-extensions        Pipeline: Declarative Extension Points API                       1.1.2
credentials                      Credentials Plugin                                               2.1.13
gerrit-trigger                   Gerrit Trigger                                                   2.24.0
structs                          Structs Plugin                                                   1.6
mailer                           Mailer Plugin                                                    1.20
ace-editor                       JavaScript GUI Lib: ACE Editor bundle plugin                     1.1
conditional-buildstep            Conditional BuildStep                                            1.3.5
pipeline-stage-view              Pipeline: Stage View Plugin                                      2.6
ssh-slaves                       SSH Slaves plugin                                                1.16
run-condition                    Run Condition Plugin                                             1.0
windows-slaves                   Windows Slaves Plugin                                            1.3.1
pipeline-graph-analysis          Pipeline Graph Analysis Plugin                                   1.3
junit                            JUnit Plugin                                                     1.20
